zip_code,zip_type,ZCTA,borough,name,land_area_acres,population_count,people_per_acre,median_income,income_margin_of_error,percent_low_education,percent_vacant_units,percent_pre1950_units
10313,P,10314,Staten Island,10313,8777.52,85510,9.74,79820,3180,10.5,5.6,15.7
10314,S,10314,Staten Island,10314 - Castleton Corners/New Springvill,8777.52,85510,9.74,79820,3180,10.5,5.6,15.7
10451,S,10451,Bronx,10451 - Melrose,649.53,45713,70.38,26541,2460,36.1,6.2,36.8
10452,S,10452,Bronx,10452 - Highbridge,630.17,75371,119.6,26636,1497,36.9,6.2,60.4
10453,S,10453,Bronx,10453 - Morris Heights,586.25,78309,133.58,26120,1471,35.9,9.3,61.3
10454,S,10454,Bronx,10454 - Mott Haven/Port Morris,667.12,37337,55.97,19271,1505,43.6,9.4,27.4
10455,S,10455,Bronx,10455 - The Hub/Longwood,455.8,39665,87.02,21379,2395,43.4,9.0,45.8
10456,S,10456,Bronx,10456 - Morrisania,651.82,86547,132.78,22604,1693,40.5,7.1,45.8
10457,S,10457,Bronx,10457 - Tremont/East Tremont,679.24,70496,103.79,24445,1639,38.4,8.7,63.7
10458,S,10458,Bronx,10458 - Belmont/Fordham/Bedford Park,645.76,79492,123.1,24478,1516,34.7,8.6,77.2
10459,S,10459,Bronx,10459 - Longwood/Morrisania,522.87,47308,90.48,21913,1225,42.5,6.5,37.9
10460,S,10460,Bronx,10460 - West Farms/Crotona,841.92,57311,68.07,22625,1866,38.8,6.9,42.4
10461,S,10461,Bronx,10461 - Westchester/Morris Park,1535.83,50502,32.88,50329,2492,20.7,7.1,49.5
10462,S,10462,Bronx,10462 - Parkchester/Van Nest,947.19,75784,80.01,46001,2243,23.6,7.6,62.3
10463,S,10463,Bronx,10463 - Kingsbridge (full),925.53,67970,73.44,53282,2599,19.6,8.1,42.4
10464,S,10464,Bronx,10464 - City Island,2241.44,4534,2.02,61063,8479,9.9,6.2,55.2
10465,S,10465,Bronx,10465 - Throgs Neck/Country Club,2195.04,42230,19.24,63352,5888,17.8,7.2,33.6
10466,S,10466,Bronx,10466 - Wakefield,1291.66,67813,52.5,44038,3517,22.8,6.9,52.4
10467,S,10467,Bronx,10467 - Norwood/Williamsbridge,1491.5,97060,65.08,35358,1412,27.0,7.2,51.2
10468,S,10468,Bronx,10468 - University Heights,688.17,76103,110.59,32985,2215,30.8,7.0,71.4
10469,S,10469,Bronx,10469 - Williamsbridge/Baychester,1585.13,66631,42.03,55724,2995,19.3,6.5,40.9
10470,S,10470,Bronx,10470 - Woodlawn/Wakefield,911.82,15293,16.77,56058,6656,15.9,10.7,57.0
10471,S,10471,Bronx,10471 - Riverdale/Fieldston,1652.47,22922,13.87,71286,6023,7.5,12.1,32.3
