ZCTA,median_income,margin_of_error
11719,83285,14090
11720,94307,6612
11721,102520,9880
11722,67041,4196
11724,136936,41883
11725,108906,8967
11726,70443,6813
11727,81174,6364
11729,85118,7199
11730,103036,6520
11731,104881,4092
11732,99236,13820
11733,115965,7874
11735,88462,6016
11738,90313,6803
11739,222321,143978
11740,106250,12049
11741,95665,6768
11742,86197,7739
11743,113535,5959
11746,96499,4779
11747,107887,5938
11749,95625,7795
11751,90986,4436
11752,94392,6852
11753,152862,13907
11754,98589,6749
11755,97401,7393
11756,97675,4327
11757,83713,4254
11758,105349,5601
11762,109453,7753
11763,88125,7290
11764,118066,10473
11765,161786,29205
11766,106983,8836
11767,107266,9250
11768,117005,6329
11769,96844,15529
11770,67969,58683
11771,100769,16544
11772,69473,3021
11776,81156,5791
11777,109128,6521
11778,89460,10232
11779,84257,4098
11780,108073,5166
11782,103306,7372
11783,100722,7529
11784,86277,4269
11786,136150,9745
11787,106995,3963
11788,101034,7274
11789,85870,13223
11790,134142,14477
11791,137796,6897
11792,120804,11917
11793,108274,4916
11794,,
11795,108963,5125
11796,102500,9854
11797,149149,17490
11798,60341,7372
11801,90604,5050
11803,123759,5790
11804,118000,16155
11901,52455,5968
11930,78542,16300
11931,,
11932,67961,16912
11933,65714,12083
11934,86714,19483
11935,88036,23745
11937,74758,9964
11939,76250,39528
11940,86360,8217
11941,78545,29495
11942,87333,9213
11944,51000,10075
11946,72049,4726
11947,29458,181174
11948,111213,16520
11949,99800,10759
11950,66107,8961
11951,68243,8497
11952,95099,9749
11953,67712,4894
11954,71312,6450
11955,67256,12021
11956,45000,40041
11957,81875,15237
11958,94423,52146
11959,74205,21651
11960,101711,32948
11961,50431,6050
11962,106250,101248
11963,81875,15611
11964,79007,20410
11965,87614,24202
11967,84859,6012
11968,85040,6452
11970,121350,34807
11971,87297,8291
11972,68750,31822
11973,,
11975,82292,43730
11976,165298,43093
11977,90347,15155
11978,85221,16318
11980,85250,13744
12007,59821,101057
12008,46971,44962
12009,77417,8584
12010,43065,2006
12015,62770,6425
12017,68125,31489
12018,74722,9770
12019,88047,6808
12020,66770,3937
12022,57868,14049
12023,61750,9372
12024,75078,112328
12025,56674,7239
12027,89145,15348
12028,64135,16925
12029,75238,5204
12031,52321,16425
12032,47917,13725
12033,71518,13151
12035,57039,12411
12036,41667,6876
12037,50848,8591
12040,65625,21607
12041,40179,38972
12042,54792,34172
12043,46693,5365
12045,37148,24390
12046,74087,13615
12047,47516,4509
12051,43611,6450
12052,59032,11766
12053,76994,13827
12054,91476,6573
12056,89844,17092
12057,50202,11538
12058,41413,25972
12059,67301,25185
12060,74479,7244
12061,87308,9519
12062,60720,10908
12063,123359,75244
12064,51583,17607
12065,77931,3417
12066,63477,2968
12067,58750,27029
12068,49592,5785
12069,55066,2802
12070,69243,6689
12071,58750,16026
12072,54609,4930
12074,72298,7308
12075,66000,26543
12076,56422,4103
12077,80781,12509
12078,41455,4144
12083,52446,10202
12084,77958,12122
12085,60313,25094
12086,58491,10145
12087,51111,12786
12089,60491,24735
12090,54526,7525
12092,54750,30093
12093,55104,4154
12094,53889,11803
12095,41236,2148
12106,70043,6962
12108,46875,8454
12110,76524,8945
12115,81167,57958
12116,45677,7938
12117,49125,7265
12118,62979,5036
12120,62813,15166
12121,76167,15539
12122,49783,3670
12123,63393,11182
12124,74625,31162
12125,45625,12630
12130,56389,26759
12131,34750,10701
12132,79808,122598
12134,50159,7349
12136,86776,22508
12137,56833,22437
12138,63750,6421
12139,43250,19826
12140,72679,17651
12143,57353,12048
12144,61479,2060
12147,73409,19941
12148,105583,12118
12149,47417,8580
12150,52321,34195
12151,83750,23589
12153,84890,7089
12154,78646,16960
12155,50000,7542
12156,62115,16908
12157,54743,12747
12158,75181,8885
12159,92938,14810
12160,57120,15032
12161,118039,40462
12164,53750,8698
12165,93333,65875
12166,51953,4283
12167,47679,7356
12168,72500,20039
12169,23836,49559
12170,68846,7380
12172,43214,26036
12173,57829,16227
12174,64531,49099
12175,52361,13504
12176,73274,36776
12177,60833,84974
12180,47418,2248
12182,47775,3533
12183,58750,11297
12184,65691,10385
12185,72608,22103
12186,85562,5271
12187,47188,18868
12188,65385,3722
12189,45328,4076
12190,47375,15820
12192,54942,4665
12193,66484,10380
12194,17000,48573
12195,44722,40939
12196,100417,28822
12197,49167,10063
12198,75726,9195
12202,31117,3893
12203,54035,3651
12204,50810,9079
12205,64953,5165
12206,25379,2265
12207,12303,2593
12208,56223,5429
12209,58045,4547
12210,35502,4684
12211,89874,10516
12222,,
12302,63781,2125
12303,61223,3218
12304,42604,2890
12305,28180,4128
12306,57987,3023
12307,23771,5281
12308,39512,3765
12309,88982,4571
12401,48650,2439
12404,52028,16789
12405,42941,16813
12406,32536,14513
12407,13594,30498
12409,54091,26668
12410,54267,22276
12411,59306,6546
12412,55601,16840
12413,37188,10563
12414,48521,5538
12416,21071,15769
12417,48125,43546
12418,41818,31823
12419,70114,36481
12420,109850,30085
12421,57434,39617
12422,47750,74653
12423,48375,17606
12424,36563,6939
12427,98646,96888
12428,43051,2405
12429,113143,51009
12430,42321,12945
12431,48450,19335
12432,56210,16292
12433,64655,32532
12434,37500,10316
12435,51806,16900
12436,84333,52741
