ZCTA,land_area_sq_meters,land_area_acres,water_area_sq_meters,water_area_acres,population_count,housing_unit_count,people_per_acre,housing_units_per_acre
10456,2637787,651.82,0,0.00,86547,29651,132.78,45.49
10457,2748734,679.24,0,0.00,70496,24364,103.79,35.87
10458,2613249,645.76,0,0.00,79492,27806,123.10,43.06
10459,2115928,522.87,0,0.00,47308,16496,90.48,31.55
10460,3407078,841.92,0,0.00,57311,20706,68.07,24.59
10461,6215148,1535.83,0,0.00,50502,21127,32.88,13.76
10462,3833088,947.19,11823,2.92,75784,31331,80.01,33.08
10463,3745408,925.53,346374,85.59,67970,30368,73.44,32.81
10464,9070627,2241.44,236605,58.47,4534,2272,2.02,1.01
10465,8882828,2195.04,118,0.03,42230,16889,19.24,7.69
10466,5227062,1291.66,5688,1.41,67813,24854,52.50,19.24
10467,6035762,1491.50,0,0.00,97060,37432,65.08,25.10
10468,2784853,688.17,45100,11.14,76103,26178,110.59,38.04
10469,6414680,1585.13,0,0.00,66631,24078,42.03,15.19
10470,3689950,911.82,3918,0.97,15293,6882,16.77,7.55
10471,6687174,1652.47,28258,6.98,22922,10054,13.87,6.08
10472,2720837,672.35,0,0.00,66358,23386,98.70,34.78
10473,5645604,1395.09,13868,3.43,58519,21323,41.95,15.28
10474,3970898,981.25,0,0.00,12281,3985,12.52,4.06
10475,4463108,1102.88,250564,61.92,40931,18911,37.11,17.15
10501,3624479,895.65,3860,0.95,1219,395,1.36,0.44
10502,5491263,1356.95,0,0.00,5487,1973,4.04,1.45
10503,38497,9.51,0,0.00,108,84,11.35,8.83
10504,42167008,10419.89,5001469,1235.91,7987,2735,0.77,0.26
10505,1689634,417.53,0,0.00,851,233,2.04,0.56
10506,42345182,10463.92,584976,144.55,5790,2139,0.55,0.20
10507,18925701,4676.73,128959,31.87,6408,2209,1.37,0.47
10509,93497187,23104.09,8663391,2140.81,19507,7457,0.84,0.32
10510,25699181,6350.52,304770,75.31,9988,3562,1.57,0.56
10511,3796934,938.26,147668,36.49,2246,943,2.39,1.01
10512,141305626,34918.03,14870704,3674.70,25590,10241,0.73,0.29
10514,33207916,8206.01,332234,82.10,11946,4033,1.46,0.49
10516,81617955,20168.61,1596108,394.41,5289,2412,0.26,0.12
10517,850209,210.10,0,0.00,539,224,2.57,1.07
10518,8929933,2206.68,140362,34.68,1268,466,0.57,0.21
10519,1927174,476.22,65850,16.27,316,133,0.66,0.28
10520,35631980,8805.02,3375280,834.07,12810,5540,1.45,0.63
10522,6291700,1554.74,1772,0.44,10875,4191,6.99,2.70
10523,9347439,2309.85,5284,1.31,7444,2676,3.22,1.16
