ZCTA,land_area_sq_meters,land_area_acres,water_area_sq_meters,water_area_acres,population_count,housing_unit_count,people_per_acre,housing_units_per_acre
14611,7496798,1852.53,57021,14.09,17396,7849,9.39,4.24
14612,44225456,10928.55,7105942,1755.95,34515,15020,3.16,1.37
14613,4731258,1169.14,92831,22.94,14730,6146,12.60,5.26
14614,628921,155.41,94229,23.28,1224,76,7.88,0.49
14615,14999091,3706.43,109711,27.11,16099,7489,4.34,2.02
14616,15391113,3803.30,0,0.00,28534,12582,7.50,3.31
14617,19890573,4915.16,1084897,268.09,22789,9897,4.64,2.01
14618,25012241,6180.77,167696,41.44,22920,8809,3.71,1.43
14619,3771166,931.89,13673,3.38,14749,6179,15.83,6.63
14620,11613712,2869.86,232116,57.36,25141,12234,8.76,4.26
14621,10678978,2638.88,283075,69.95,33802,14768,12.81,5.60
14622,11934896,2949.23,2489892,615.28,12108,5750,4.11,1.95
14623,49424146,12213.20,971501,240.07,27173,10169,2.22,0.83
14624,72337716,17875.37,440357,108.82,36296,14868,2.03,0.83
14625,19789324,4890.14,485284,119.92,10387,4801,2.12,0.98
14626,35287528,8719.90,116976,28.91,30041,12885,3.45,1.48
14627,398890,98.57,0,0.00,2320,0,23.54,0.00
14701,239271752,59126.44,788493,194.84,40730,19132,0.69,0.32
14706,204048907,50422.53,1666387,411.78,6356,2807,0.13,0.06
14707,5147207,1271.93,0,0.00,239,114,0.19,0.09
14708,27189587,6718.82,177993,43.98,183,143,0.03,0.02
14709,130971886,32364.46,78052,19.29,1535,992,0.05,0.03
14710,125264642,30954.15,147055,36.34,3540,2297,0.11,0.07
14711,103554871,25589.44,852868,210.75,1766,1031,0.07,0.04
14712,67409466,16657.55,192079,47.46,3342,2237,0.20,0.13
14714,47071994,11631.96,209735,51.83,487,300,0.04,0.03
14715,112494206,27798.44,73994,18.28,2747,1439,0.10,0.05
14716,32107143,7934.00,15526446,3836.74,3104,1029,0.39,0.13
14717,70616866,17450.13,785844,194.19,636,1062,0.04,0.06
14718,85416294,21107.22,1080421,266.98,2163,1022,0.10,0.05
14719,244316773,60373.12,1516486,374.74,3497,1767,0.06,0.03
14720,634847,156.88,0,0.00,675,338,4.30,2.15
14721,9666433,2388.67,0,0.00,230,145,0.10,0.06
